a_name,loaded_in,io,lineno
vgg16-hybrid1365_weights_tf_dim_ordering_tf_kernels.h5,vgg16_hybrid_places_1365.py,r,225
vgg16-hybrid1365_weights_tf_dim_ordering_tf_kernels_notop.h5,vgg16_hybrid_places_1365.py,r,229
categories_hybrid1365.txt,vgg16_hybrid_places_1365.py,,289
vgg16-places365_weights_tf_dim_ordering_tf_kernels.h5,vgg16_places_365.py,r,209
vgg16-places365_weights_tf_dim_ordering_tf_kernels_notop.h5,vgg16_places_365.py,r,213
categories_places365.txt,vgg16_places_365.py,,269
